window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53
5060,108,2,sitting,-0.00011608318,0.014245281,0.00017901525,0.0033896372,0.008791352,0.028312573,0.00041077647,0.014033015,0.00016715287,-2.884128e-05,0.00022349237,0.000118069176,8.870869e-06,-0.00043337082,4.482293e-05,-0.00013388245,0.00041978192,0.0003215895,-0.00016191274,0.005595116,0.0008248064,0.008691454,6.1471525e-05,4.715767e-06,-5.409731e-06,-0.011113482,-0.00028143282,-0.00055161363,-0.00014717589,0.00021386532,-0.0026610268,-0.000562522,-5.459677e-05,0.00019613311,0.0004711608,-0.00013237573,-8.947151e-05,0.004545692,8.132139e-05,-0.000357328,-0.0073461104,-0.0009782166,3.87286e-05,-0.005295263,0.00020155842,0.0002486548,-0.00041571923,0.00012517857,0.00021068771,-2.740733e-05,-0.0001587147,-0.0005143705,1.1464364e-05,-0.00018192382
5061,108,2,sitting,4.1844305e-05,0.014295476,0.00014307025,0.0034405265,0.008802728,0.02833264,0.00025155582,0.014539186,0.000193852,-0.00016873798,6.525164e-05,-0.00016759506,6.215201e-05,-0.00030810415,-0.00015305403,-0.00014470685,0.0002845127,0.00022223973,4.073694e-05,0.0077846153,-0.00011174228,0.008825428,0.00011085815,-6.485443e-05,-0.0007051891,-0.010308562,-0.0006283909,0.00030262786,-0.00012606454,0.00038388636,-0.0023558608,-0.0001226724,0.00017374747,0.00090227596,-0.00022182068,0.00015236001,-9.679638e-05,0.0045518726,6.574276e-05,-0.00032425465,-0.007644076,-0.0010736677,0.0001237764,-0.0052209045,-0.00036559725,3.3451393e-05,-0.00038539545,0.00017619561,0.00013141669,0.00011289262,-0.00037380392,-0.00052717305,5.898653e-05,-0.00017278762
5062,108,2,sitting,-0.0011791253,0.014186542,0.00030547107,0.0032421192,0.0077001117,0.02652003,0.0047947355,0.018332263,0.004654913,0.0062300083,0.0031115985,0.004240733,0.00825857,7.402108e-05,0.004389857,-0.0007475491,-0.0012849997,-0.00053813367,0.00079097674,0.011095393,0.0007391104,0.004011233,0.00023253114,0.0004533473,-0.01408926,-0.004786361,-0.00832472,0.008933307,-0.004453652,0.0013673526,0.00081082457,0.0007440183,-0.00018759331,-0.0049786065,0.0017412798,-0.0029531585,9.636042e-06,0.0046361717,-2.6747522e-05,-0.00060666015,-0.0077826455,-0.0008943571,0.0002677571,-0.0056121377,-0.0012111762,-0.00010767848,8.3193945e-06,0.0010398974,-0.00036588422,-0.0005468651,-0.00029150475,-0.0010715895,-7.6752556e-05,-0.00057785475
5063,108,2,sitting,0.0025899352,0.012678801,-0.0015241946,0.0032466818,0.009794295,0.027461156,-0.00321695,0.021814805,-0.0080023175,0.00069423195,0.0049383035,-0.0015109841,0.003146137,-0.0012620979,-0.0025713101,0.0006812936,-0.00083074876,0.0023616434,-0.003950016,0.011407004,-0.001508283,-0.0062135304,-0.0001702036,0.0019927665,0.0052870587,0.00793428,-0.006683441,0.0013164142,0.0034245152,0.0025973963,0.0038237276,-0.0021259391,-0.00033282838,-0.0032073099,-0.0026560177,-0.00052221917,-0.0009072409,0.0053189374,0.0006910493,0.0013903596,-0.010379778,-0.00010482037,0.004406017,-0.009026009,0.0035200785,0.0155855045,0.009544987,-0.0024069115,0.0050045247,-0.0037651602,-0.0055046175,0.0025614465,0.0011910915,0.0013027685
5064,108,2,sitting,1.6605192e-06,-0.0006818713,-0.003228026,0.006434238,0.012367429,0.04400016,-0.016836315,0.007696896,-0.0026161727,-0.008519797,0.004968049,-0.0053582056,-0.010767409,0.01096236,0.0018638372,0.0024478564,-0.00012698479,0.0064981845,-6.6547815e-05,0.0065258048,-0.0036942074,-0.0012418239,0.00062336505,-0.0026482663,0.0054292507,0.00103516,0.020287693,0.008908856,-0.0013442894,-0.0066453274,-0.0013324742,0.0005241186,0.0028935957,-0.010006643,0.0024745292,0.00043925503,0.00054505875,0.006044334,-0.0018256304,0.0022138255,-0.0029743444,-0.0010011402,0.0025661224,-0.007370718,-0.0021087192,-0.009114298,0.009451894,0.012922757,0.015097269,0.00083010405,0.009089123,0.00071843417,-7.219574e-05,0.00019825857
5065,108,2,sitting,0.0016550756,-0.014605655,0.0059921797,0.0044025895,0.018406844,0.05236777,0.0024439876,-0.009221798,-2.5098318e-05,-0.014075678,-0.012864232,-0.017918592,-0.014012447,-0.0065422887,-0.011687464,-0.009745925,0.0036601645,-0.0016753621,0.0035890443,0.0032031012,-0.0008732733,0.008024827,8.602363e-05,0.00061537913,0.0007609336,-0.01480648,-0.000119008524,-0.00034419104,-0.0016254121,-0.0020412428,0.0024802182,4.496883e-06,-0.0010750376,-0.0019362376,0.0006094794,-0.0017287809,8.699963e-05,0.0062307855,0.0009577316,-0.00046176047,0.008487429,-0.0005040014,0.0006077019,-0.0016066936,-0.0031310478,0.0019666685,-0.0011303882,0.003651053,0.0026118474,0.0002359513,-0.0044069476,-0.0010810411,0.0011083538,-9.071824e-05
5066,108,2,sitting,-0.004013194,-0.017946493,-0.00016759278,0.010105854,0.013016324,0.051029224,-0.0076737213,-0.013113493,-0.010407257,0.012103125,-0.014519063,0.0047976733,-0.003262058,-0.006685902,-0.0032784918,-0.0003357965,-0.000608254,0.0034433124,-0.0021193726,-0.0005945128,0.0011189294,0.0068988763,0.00030105992,-0.00022519012,0.0010698086,-0.017016722,0.004656067,0.0018066447,-0.0006990441,0.0001537149,-0.0047735046,-0.0005426655,0.00063843717,0.0022996683,0.00022663007,-0.0015527802,1.2107924e-05,0.0062239887,0.00016554596,0.00015889187,0.00963718,0.00090518576,-0.0013118756,0.00017880189,-0.0011980159,-5.6993e-05,0.00015695316,-0.00025325644,9.821676e-05,-0.00086344447,0.0005175874,-0.0006463009,2.9509425e-05,-0.00031008647
5067,108,2,sitting,-0.00034896107,-0.015929831,0.0012381285,0.0059880544,0.017783897,0.052121755,0.0016774066,-0.012750095,0.00743884,-0.0024845935,-0.0029775677,0.0044741984,-0.014065417,-1.6058122e-05,0.0007677504,-0.000983785,0.0037922803,-0.0020581558,0.0006873273,-0.0029116126,0.00016428069,0.0072982907,-0.00013251367,0.00031226923,0.00034231387,-0.01620172,-0.0035135683,-0.00020040711,0.00075306604,-0.0022450963,-0.0035270678,-0.0008450592,-0.00026559026,0.0024259284,-0.00015244914,-0.00033255093,5.3594715e-07,0.006537625,-1.9860798e-05,0.00015480825,0.010078128,0.00083082105,2.119547e-06,-0.0010726465,0.00020803674,-0.00021514283,0.00040812115,-0.0004583185,0.0006668044,0.0005988343,0.00036657124,-0.0006816625,2.7856819e-05,-0.00023214157
5068,108,2,sitting,0.00015622878,-0.013086572,0.0009395893,0.006139694,0.016123109,0.05288071,0.00038908093,-0.012165969,-0.0007878652,-0.009095721,-0.005055533,0.0008150934,-0.0026978594,-0.0041632806,-0.002256237,0.0012152491,-0.0012122826,0.00013487731,0.00010041977,-0.0022006612,0.00023746544,0.008083402,0.00021665554,-0.0001093382,0.00034630313,-0.013849562,-0.0010209683,-0.0023095885,-0.0007336074,0.0010680489,-0.0028795586,-0.0005378813,-0.00018630915,0.0010442045,0.0005486561,0.0005577199,9.408932e-07,0.006774835,8.168198e-05,0.00012466522,0.010209119,0.0008417868,-3.0178385e-06,-0.0025708585,-0.00016269786,4.161315e-05,-0.00038920942,-5.1884665e-05,0.00029836394,0.0003067214,-0.00044071535,-0.0005358699,7.404094e-05,-0.00016109664
5069,108,2,sitting,-0.00014992214,-0.012810418,0.00023727553,0.006324176,0.016270733,0.052387375,-9.933292e-05,-0.012763186,-1.3109951e-05,-0.00010276,0.00021650897,0.00030514912,4.2560525e-05,-0.00027051856,-2.8536973e-05,-0.000113195674,0.00034176421,0.00031652424,6.205079e-05,-0.0022180346,0.00042359062,0.008282988,7.30628e-05,-1.0728477e-05,0.00015905127,-0.013041765,1.6737404e-05,-0.0006918082,0.00035585073,0.00029224815,-0.0025676782,-0.0003709531,-3.5599098e-06,0.0008272453,0.00042891724,-5.0644385e-06,1.2360285e-05,0.006800311,0.00010153898,0.00019746966,0.010194899,0.0008364889,-6.791867e-05,-0.002688028,-0.00046384893,4.247638e-05,-0.00053645746,5.4276876e-05,0.00040526732,-0.00013961489,-0.00045873458,-0.0005015499,4.9053353e-05,-0.00018204839
