run_prefix,original_run,filter_name,kept,total,kept_fraction,kept_counts,stats_score_mean,original_generated_rows,original_ED,original_DTW,original_MDD,original_ACD,original_SD,original_KD,original_synthetic_only_accuracy,original_synthetic_only_macro_f1,original_real_plus_synthetic_accuracy,original_real_plus_synthetic_macro_f1,ED,ED_delta_vs_original,DTW,DTW_delta_vs_original,MDD,MDD_delta_vs_original,ACD,ACD_delta_vs_original,SD,SD_delta_vs_original,KD,KD_delta_vs_original,synthetic_only_accuracy,synthetic_only_macro_f1,synthetic_only_accuracy_delta_vs_original,real_plus_synthetic_accuracy,real_plus_synthetic_macro_f1,real_plus_synthetic_accuracy_delta_vs_original
chest_gyro_stats_base,gemma_2act_chest_gyro_stats,stats_loose_p70,199,283,0.7031802120141343,"{""running"": 79, ""walking"": 120}",0.5441577163932597,283,1.4962295591831207,5.529288575189033,0.0067921206355094,0.3466957466735435,0.0253002950921654,1.7522948028981356,0.4491803278688525,0.4116836594103058,0.9540983606557376,0.9504272313550663,2.2441614270210266,0.7479318678379059,7.567728310624564,2.0384397354355315,0.0081671089865267,0.0013749883510173,0.4119053825149169,0.06520963584137335,0.0277135493233799,0.002413254231214499,1.461730604407358,-0.29056419849077764,0.6426229508196721,0.6413738794619259,0.19344262295081965,0.9540983606557376,0.9502331002331004,0.0
chest_gyro_stats_base,gemma_2act_chest_gyro_stats,stats_medium_p50,142,283,0.5017667844522968,"{""running"": 56, ""walking"": 86}",0.5005928140215644,283,1.4962295591831207,5.529288575189033,0.0067921206355094,0.3466957466735435,0.0253002950921654,1.7522948028981356,0.4491803278688525,0.4116836594103058,0.9540983606557376,0.9504272313550663,2.847043216228485,1.3508136570453644,9.614984917270098,4.085696342081065,0.0132043426856398,0.006412222050130399,0.4646268166272618,0.11793106995371827,0.0309684416279196,0.0056681465357542,1.1845458439547465,-0.5677489589433891,0.8721311475409836,0.867670126489337,0.42295081967213116,0.9508196721311476,0.946987868043244,-0.003278688524590012
chest_gyro_stats_base,gemma_2act_chest_gyro_stats,stats_strict_p35,100,283,0.35335689045936397,"{""running"": 40, ""walking"": 60}",0.4629630113251457,283,1.4962295591831207,5.529288575189033,0.0067921206355094,0.3466957466735435,0.0253002950921654,1.7522948028981356,0.4491803278688525,0.4116836594103058,0.9540983606557376,0.9504272313550663,3.917238414287567,2.4210088551044464,15.522495111571818,9.993206536382786,0.0145758674480021,0.0077837468124927,0.3039739887129588,-0.04272175796058475,0.0283799329772591,0.0030796378850936994,1.3979049243104735,-0.354389878587662,0.921311475409836,0.9168030551009274,0.47213114754098356,0.960655737704918,0.9573426573426572,0.006557377049180357
chest_gyro_stats_ica12_ep5,gemma_2act_chest_gyro_stats_ica12_ep5,stats_loose_p70,212,302,0.7019867549668874,"{""running"": 80, ""walking"": 132}",0.46460484602682706,302,1.8267762064933777,6.1618327585892985,0.0100725870579481,0.2578632601232539,0.020987207069993,1.3479761671305976,0.898360655737705,0.8939796593444792,0.9639344262295082,0.960974304691226,2.2931519150733948,0.4663757085800171,7.006415265088435,0.8445825064991368,0.0081329541280865,-0.001939632929861601,0.2211235548017975,-0.0367397053214564,0.0210943212732672,0.00010711420327420146,1.5000947044274704,0.15211853729687275,0.898360655737705,0.893679227248704,0.0,0.9540983606557376,0.9504272313550663,-0.009836065573770592
chest_gyro_stats_ica12_ep5,gemma_2act_chest_gyro_stats_ica12_ep5,stats_medium_p50,151,302,0.5,"{""running"": 57, ""walking"": 94}",0.4317756444439384,302,1.8267762064933777,6.1618327585892985,0.0100725870579481,0.2578632601232539,0.020987207069993,1.3479761671305976,0.898360655737705,0.8939796593444792,0.9639344262295082,0.960974304691226,2.6306028366088867,0.803826630115509,9.3339128203091,3.172080061719802,0.0078040901571512,-0.0022684969007969007,0.254047141987153,-0.003816118136100888,0.0220247628167271,0.0010375557467341007,1.459050239602986,0.11107407247238843,0.9081967213114754,0.904874353947603,0.00983606557377048,0.9573770491803278,0.9540561523041448,-0.006557377049180357
chest_gyro_stats_ica12_ep5,gemma_2act_chest_gyro_stats_ica12_ep5,stats_strict_p35,106,302,0.3509933774834437,"{""running"": 40, ""walking"": 66}",0.402227298491863,302,1.8267762064933777,6.1618327585892985,0.0100725870579481,0.2578632601232539,0.020987207069993,1.3479761671305976,0.898360655737705,0.8939796593444792,0.9639344262295082,0.960974304691226,3.91281658411026,2.0860403776168823,16.442435263646377,10.280602505057079,0.0147290616296231,0.004656474571675,0.2068531141117515,-0.05101014601150239,0.024375382810831,0.0033881757408380023,1.3936705644763543,0.04569439734575664,0.9311475409836064,0.928375733855186,0.032786885245901454,0.9573770491803278,0.9540561523041448,-0.006557377049180357
hand_stats_base,gemma_2act_hand_stats,stats_loose_p70,212,301,0.7043189368770764,"{""running"": 80, ""walking"": 132}",0.6420099881016218,301,182.5319366455078,566.8798610355782,2.0143425464630127,0.2715216163281911,0.0113133625127375,1.9625847131677787,0.9278688524590164,0.9246541501976284,0.9704918032786886,0.9686461295959976,182.55977630615237,0.02783966064455967,554.2313389718765,-12.648522063701648,1.9261234402656555,-0.08821910619735718,0.2300409573883749,-0.0414806589398162,0.0112094399519264,-0.00010392256081110003,1.787752260126542,-0.17483245304123662,0.9245901639344264,0.9206456940532346,-0.003278688524590012,0.9639344262295082,0.9616786028395528,-0.006557377049180357
hand_stats_base,gemma_2act_hand_stats,stats_medium_p50,151,301,0.5016611295681063,"{""running"": 57, ""walking"": 94}",0.6154917990778372,301,182.5319366455078,566.8798610355782,2.0143425464630127,0.2715216163281911,0.0113133625127375,1.9625847131677787,0.9278688524590164,0.9246541501976284,0.9704918032786886,0.9686461295959976,177.9967041015625,-4.5352325439453125,537.8255985681122,-29.054262467465946,1.8980225920677185,-0.11631995439529419,0.236084567266913,-0.03543704906127812,0.0121804503723979,0.0008670878596603992,1.7898668222518086,-0.17271789091597012,0.9278688524590164,0.9239780658025922,0.0,0.9737704918032788,0.9719849361623956,0.003278688524590234
hand_stats_base,gemma_2act_hand_stats,stats_strict_p35,106,301,0.3521594684385382,"{""running"": 40, ""walking"": 66}",0.5921212826435686,301,182.5319366455078,566.8798610355782,2.0143425464630127,0.2715216163281911,0.0113133625127375,1.9625847131677787,0.9278688524590164,0.9246541501976284,0.9704918032786886,0.9686461295959976,181.8509521484375,-0.6809844970703125,548.8495405979047,-18.03032043767348,1.866382598876953,-0.1479599475860598,0.2427157538586568,-0.028805862469534316,0.013278295751661,0.0019649332389234993,2.4471523485335203,0.48456763536574154,0.9377049180327868,0.9340285288191164,0.00983606557377037,0.9704918032786886,0.9684268641952588,0.0
hand_stats_ica12_ep5,gemma_2act_hand_stats_ica12_ep5,stats_loose_p70,126,178,0.7078651685393258,"{""running"": 39, ""walking"": 87}",0.6701255260411054,178,179.5319366455078,558.731651191134,1.9285234808921812,0.1985042538921335,0.0109790405258536,1.4736687787985874,0.9278688524590164,0.9239780658025922,0.9704918032786886,0.9685383213561188,180.80731964111328,1.2753829956054688,556.4695460371926,-2.262105153941434,1.892428278923035,-0.036095201969146284,0.2325824681649208,0.034078214272787316,0.0128206177614629,0.0018415772356093017,1.8385804791127136,0.36491170031412623,0.9344262295081968,0.9306692125841062,0.006557377049180357,0.9704918032786886,0.9685383213561188,0.0
hand_stats_ica12_ep5,gemma_2act_hand_stats_ica12_ep5,stats_medium_p50,90,178,0.5056179775280899,"{""running"": 28, ""walking"": 62}",0.6476089576928591,178,179.5319366455078,558.731651191134,1.9285234808921812,0.1985042538921335,0.0109790405258536,1.4736687787985874,0.9278688524590164,0.9239780658025922,0.9704918032786886,0.9685383213561188,184.7477569580078,5.2158203125,575.6408595386407,16.909208347506706,2.0328125059604645,0.1042890250682833,0.2215581788594482,0.023053924967314704,0.012795309536159,0.0018162690103054012,1.845794285073451,0.3721255062748636,0.9344262295081968,0.9306692125841062,0.006557377049180357,0.9737704918032788,0.9719849361623956,0.003278688524590234
hand_stats_ica12_ep5,gemma_2act_hand_stats_ica12_ep5,stats_strict_p35,64,178,0.3595505617977528,"{""running"": 20, ""walking"": 44}",0.6303679535890424,178,179.5319366455078,558.731651191134,1.9285234808921812,0.1985042538921335,0.0109790405258536,1.4736687787985874,0.9278688524590164,0.9239780658025922,0.9704918032786886,0.9685383213561188,185.16039276123047,5.628456115722656,561.579726554143,2.848075363009002,2.0024213194847107,0.07389783859252952,0.2207513319513294,0.0222470780591959,0.0141551974229514,0.0031761568970978,2.020856844266925,0.5471880654683376,0.9344262295081968,0.9306692125841062,0.006557377049180357,0.9737704918032788,0.9719849361623956,0.003278688524590234
